Institution,Program,Level,Accredited
4592.,Microcredential in Psychiatry,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4593.,Microcredential in Emergency Medicine,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4594.,Microcredential in Emergency Medicine,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4595.,Microcredential in Prehospital Care,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4596.,Microcredential in Prehospital Care,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4597.,Microcredential in Public Health,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4598.,"Microcredential in Emergency Medicine-II, Systems",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4599.,"Microcredential in Emergency Medicine-II, Systems",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4600.,"Microcredential in Emergency Medicine-II, Systems",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4601.,"Microcredential in Emergency Medicine-1, General",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4602.,"Microcredential in Emergency Medicine-1, General",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4603.,"Microcredential in Emergency Medicine-1, General",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4604.,"Microcredential in Surgery-II, Systems",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4605.,Micro-credential in Engineering Mathematics I,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4606.,Micro-credential in Material Science,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4607.,Micro-credential in Introduction to C Programming,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4608.,Micro-credential in Engineering Workshop,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4609.,Micro-credential in Tamadun Islam&Tamadun Asia,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4610.,Micro-credential in Malaysian Studies,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4611.,Micro-credentail in Engineering Mathematics 2,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4612.,Micro-credential in Statics,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4613.,Micro-credential in Engineering Materials,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4614.,Micro-credential in Electical Technology,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4615.,Micro-credential in Yuth Development,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4616.,Micro-credential in System Design,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4617.,Micro-credential in Engineering Experimentation I,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4618.,Micro-credential in Hubungan Etnik,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4619.,Micro-credential in BahasaMelayu Komunikasi 2,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4620.,Micro-credential in Engineering Statistics,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4621.,Micro-credential in Fluid Mechanics I,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4622.,Micro-credential in Thermodynamics I,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4623.,Micro-credential in Engineering Drawing II,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4624.,Micro-credential in Dynamics,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4625.,Micro-credential in Entrepreneurship,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4626.,Micro-credential in Numerical Methods,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4627.,Micro-credential in Manufacturing Process,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4628.,Micro-credential in Solid Mechanics I,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4629.,Micro-credential in Introduction to Mechanical Design,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4630.,Micro-credential in Engineering Experimentation II,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4631.,Micro-credential in Engineering Electronics&Microprocessors,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4632.,Micro-credential in Emeasurements&Instrumentation,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4633.,Micro-credential in Fluid Mechanics II,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4634.,Micro-credential in Thermodynamics II,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4635.,Micro-credential in Community Service,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4636.,Micro-credential in Multimedia Appllication,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4637.,Micro-credential in Control Engineering,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4638.,Micro-credential in Solid Mechanics II,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4639.,Micro-credential in Mechanics of Machines&Vibration,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4640.,Micro-credential in Component Design,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4641.,Micro-credential in Engineering Experimentation III,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4642.,Micro-credential in Industrial Training,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4643.,Micro-credential in Thesis I,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4644.,Micro-credential in Industrial Engineering,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4645.,Micro-credential inThesis II,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4646.,Micro-credential in Engineers in Society,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4647.,Micro-credential in Engineering Management Economics & Safety,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4648.,"Micro-credential in Vibration,Measurement and Control",Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4649.,Micro-credential in Acoustic and Noise Control,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4650.,Micro-credential in Material Processing,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4651.,Micro-credential in Material Selection,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4652.,Micro-credential in Nano-Material,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4653.,Micro-credential in Production Planning & Control,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4654.,Micro-credential in Robotics,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4655.,Micro-credential in Refrigeration & Air-Conditioning,Bachelor of Mechanical Engineering with Honours,MQA/PA 9589
4656.,Micro-credential in Fundamentals of Computer,Diploma in Information Technology,MQA/PA/9409
4657.,Micro-credential in Computer Architecture & Organization,Diploma in Information Technology,MQA/PA/9409
4658.,Micro-credential in Fundamental of Algorithm Development,Diploma in Information Technology,MQA/PA/9409
4659.,Micro-credential in Discrete Mathematics,Diploma in Information Technology,MQA/PA/9409
4660.,Micro-credential in Pengajian Malaysia,Diploma in Information Technology,MQA/PA/9409
4661.,Micro-credential in Bahasa Melayu Kommunikasi,Diploma in Information Technology,MQA/PA/9409
4662.,Micro-credential in Database Management System,Diploma in Information Technology,MQA/PA/9409
4663.,Micro-credential in Human Computer Interaction,Diploma in Information Technology,MQA/PA/9409
4664.,Micro-credential in Mathematics for Computations,Diploma in Information Technology,MQA/PA/9409
4665.,Micro-credential in Creative and Critical Thinking,Diploma in Information Technology,MQA/PA/9409
4666.,Micro-credential in Programming Language,Diploma in Information Technology,MQA/PA/9409
4667.,Micro-credential in Data Communication & Network,Diploma in Information Technology,MQA/PA/9409
4668.,Micro-credential in Java Programming,Diploma in Information Technology,MQA/PA/9409
4669.,Micro-credential in Introduction to Web Development,Diploma in Information Technology,MQA/PA/9409
4670.,Micro-credential in Elective I,Diploma in Information Technology,MQA/PA/9409
4671.,Micro-credential in Elective II,Diploma in Information Technology,MQA/PA/9409
4672.,Micro-credential in Time Management,Diploma in Information Technology,MQA/PA/9409
4673.,Micro-credential in Multimedia Technology I,Diploma in Information Technology,MQA/PA/9409
4674.,Micro-credential in Software Project Management,Diploma in Information Technology,MQA/PA/9409
4675.,Micro-credential in Elective III,Diploma in Information Technology,MQA/PA/9409
4676.,Micro-credential in Elective IV,Diploma in Information Technology,MQA/PA/9409
4677.,Micro-credential in Co-Curricular Project,Diploma in Information Technology,MQA/PA/9409
4678.,Micro-credential in Multimedia Technology II,Diploma in Information Technology,MQA/PA/9409
4679.,Micro-credential in Fundamental of Computer Graphics,Diploma in Information Technology,MQA/PA/9409
4680.,Micro-credential in Industrial Training,Diploma in Information Technology,MQA/PA/9409
4681.,Micro-credential in Information System,Diploma in Information Technology,MQA/PA/9409
4682.,Micro-credential in Operating System,Diploma in Information Technology,MQA/PA/9409
4683.,Micro-credential in Web Programming,Diploma in Information Technology,MQA/PA/9409
4684.,Micro-credential in Mobile Computing,Diploma in Information Technology,MQA/PA/9409
4685.,Micro-credential in Fundamental of Artificial Intelligence,Diploma in Information Technology,MQA/PA/9409
4686.,Micro-credential in Data Structures & Algorithms,Diploma in Information Technology,MQA/PA/9409
4687.,Micro-credential in Introduction to Computer Security,Diploma in Information Technology,MQA/PA/9409
4688.,Micro-credential in Integumentary-musculoskeletal-Nervous Systems,Master of Medical Science (Mixed Mode),MQA/PA11419
4689.,Micro-credential in Research Methodology and Biosatisitics,Master of Medical Science (Mixed Mode),MQA/PA11419
4690.,Micro-credential in Instrumentation and Bioinformatic,Master of Medical Science (Mixed Mode),MQA/PA11419
4691.,Micro-credential in Introduction to Cell Biology,Master of Medical Science (Mixed Mode),MQA/PA11419
4692.,Micro-credential in Introduction to Biochemistry,Master of Medical Science (Mixed Mode),MQA/PA11419
4693.,Micro-credential in Introduction to Immunology,Master of Medical Science (Mixed Mode),MQA/PA11419
4694.,Micro-credential in Introduction to Medical Microbiology,Master of Medical Science (Mixed Mode),MQA/PA11419
4695.,Micro-credential in Introduction to Medical Pharmacology,Master of Medical Science (Mixed Mode),MQA/PA11419
4696.,Micro-credential in Introduction to Medical Physiology,Master of Medical Science (Mixed Mode),MQA/PA11419
4697.,Micro-credential in External Attachment: Industry,Master of Medical Science (Mixed Mode),MQA/PA11419
4698.,Micro-credential in Clinical Physiology,Master of Medical Science (Mixed Mode),MQA/PA11419
4699.,Micro-credential in Cardiorespiratory-Renal System,Master of Medical Science (Mixed Mode),MQA/PA11419
4700.,"Micro-credential in Gastrointestinal, Nutritional,Endocrine and Reproductive System",Master of Medical Science (Mixed Mode),MQA/PA11419
4701.,Micro-credential in Microteaching,Master of Medical Science (Mixed Mode),MQA/PA11419
4702.,Micro-credential in Drug Design and Clinical Trials,Master of Medical Science (Mixed Mode),MQA/PA11419
4703.,Micro-credential in Autonomic Nervous System and Antimicrobials,Master of Medical Science (Mixed Mode),MQA/PA11419
4704.,Micro-credential in Cardiovascular & Respiratory Systems,Master of Medical Science (Mixed Mode),MQA/PA11419
4705.,Micro-credential in Gastrointestinal & Musculoskeletal Systems,Master of Medical Science (Mixed Mode),MQA/PA11419
4706.,Micro-credential in Nervous Systems,Master of Medical Science (Mixed Mode),MQA/PA11419
4707.,"Micro-credential in Reproductive, Endocrine & Metabolic Systems",Master of Medical Science (Mixed Mode),MQA/PA11419
4708.,Micro-credential in Emerging and Re-Emerging Infections,Master of Medical Science (Mixed Mode),MQA/PA11419
4709.,Micro-credential in Neglected Tropical Diseases,Master of Medical Science (Mixed Mode),MQA/PA11419
4710.,Micro-credential in Clinical Microbiology,Master of Medical Science (Mixed Mode),MQA/PA11419
4711.,Micro-credential in Diagnostic Microbiology,Master of Medical Science (Mixed Mode),MQA/PA11419
4712.,Micro-credential in Antimicrobials and microbial resistance,Master of Medical Science (Mixed Mode),MQA/PA11419
4713.,Micro-credential in Applied Microbiology,Master of Medical Science (Mixed Mode),MQA/PA11419
4714.,Micro-credential in Research Proposal,Master of Medical Science (Mixed Mode),MQA/PA11419
4715.,Micro-credential in Research,Master of Medical Science (Mixed Mode),MQA/PA11419
4716.,Micro-credential in Introduction to cosmetics & Cosmeceuticals,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4717.,Micro-credential in Pharmacotoxicology,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4718.,Micro-credential in Research Methodology,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4719.,Micro-credential in Industrial Attachment and Research Project I,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4720.,Micro-credential in Complementary Medicine,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4721.,Micro-credential in Drug in Sports and Lifestyle drug,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4722.,Micro-credential in Principles of Marketing,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4723.,Micro-credential in Computer Aided Drug Development System,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4724.,Micro-credential in Pharmaceutical Management,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4725.,Micro-credential in Pharmacoinformatics,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4726.,Micro-credential in Pharmaceutical Microbiology,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4727.,Micro-credential in Pharmaceutical Regulatory Control,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4728.,Micro-credential in Introduction to Physiology,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4729.,Micro-credential in Physical Pharmacy,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4730.,Micro-credential in Introduction to Chemistry,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4731.,Micro-credential in Scientific Basis of Therapeutics,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4732.,Micro-credential in Entrepreneurship,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4733.,Micro-credential in Biochemistry,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4734.,Micro-credential in Pharmaceutical Engineering I,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4735.,Micro-credential in Dosage Form Design I,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4736.,Micro-credential in Medicinal Chemistry I,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4737.,Micro-credential in Veterinary Pharmacy,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4738.,Micro-credential in Principle of Laboratory Animal Sciences,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4739.,Micro-credential in Occupational Safety and Health,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4740.,Micro-credential in Pharmaceutical Engineering II,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4741.,Micro-credential in Dosage Form Design II,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4742.,Micro-credential in Personal & Professional Development***,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4743.,Micro-credential in Immunology,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4744.,Micro-credential in Analytical Chemistry 1,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4745.,Micro-credential in Medicinal Chemistry II,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4746.,Micro-credential in Phytopharmaceutical,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4747.,Micro-credential in Dosage Form Design III,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4748.,Micro-credential in Pharmaceutical Biotechnology,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4749.,Micro-credential in Pharmaceutical Calculations and Biostatistics,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4750.,Micro-credential in Introduction to Micro-credential in Biopharmaceutics and Pharmacokinetics,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4751.,Micro-credential in Pharmaceutical Quality Assurance,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4752.,Micro-credential in Radiopharmacy,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4753.,Micro-credential in Analytical Chemistry II,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4754.,Micro-credential in Drug Delivery System,Bachelor of Science (Honours) in Pharmaceuticals Technology,MQA/PA12565
4755.,Micro-credential in Chemistry for Environmental Health,DIPLOMA IN OCCUPATIONAL SAFETY AND HEALTH,MQA/PA13380
4756.,Micro-credential in Environmental Health Risk Assessment,DIPLOMA IN OCCUPATIONAL SAFETY AND HEALTH,MQA/PA13380
4757.,Micro-credential in Occupational health and Safety (Practical training),DIPLOMA IN OCCUPATIONAL SAFETY AND HEALTH,MQA/PA13380
4758.,Micro-credential in Food Hygiene and Safety,DIPLOMA IN OCCUPATIONAL SAFETY AND HEALTH,MQA/PA13380
4759.,Micro-credential in Occupational Health and Safety,DIPLOMA IN OCCUPATIONAL SAFETY AND HEALTH,MQA/PA13380
4760.,Micro-credential in Legal Procedures,DIPLOMA IN OCCUPATIONAL SAFETY AND HEALTH,MQA/PA13380
4761.,Micro-credential in Professional  and Environmental Ethics,DIPLOMA IN OCCUPATIONAL SAFETY AND HEALTH,MQA/PA13380
